,GRD_PTS_PER_UNIT,CATALOG_NBR,GPAO,ANON_INSTR_ID,TERM,HSGPA,LAST_ACT_ENGL_SCORE,LAST_ACT_MATH_SCORE,LAST_ACT_READ_SCORE,LAST_ACT_SCIRE_SCORE,LAST_ACT_COMP_SCORE,SEX,At_Risk
37,4.0,271,4.128,1862,102,4.0,26.0,23.0,20.0,22.0,23.0,1,0
38,3.3,271,3.8779816510000003,2889,102,3.8,26.0,34.0,28.6889,29.0385,26.0,0,0
39,2.4,271,2.225925926,3717,102,0.0,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
40,4.0,271,3.739130435,17,102,3.2,23.0,28.0,32.0,31.0,28.0,0,0
41,0.0,271,3.0470588239999996,283,102,3.9,30.0,36.0,29.0,26.0,30.0,1,1
42,2.3,271,3.3408163269999998,3057,102,3.1593,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
43,3.7,271,3.6955056180000003,3558,102,0.0,32.0,32.0,29.0,29.0,31.0,1,0
44,2.7,271,3.3159090910000004,1996,102,3.9,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
45,3.0,271,3.2676056339999997,4230,102,3.1593,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
46,0.0,271,3.45952381,2259,102,3.7,28.1823,29.0385,28.6889,29.0385,28.7863,1,1
47,1.7,271,3.08974359,3493,102,3.5,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
48,3.3,271,3.788461538,3558,102,3.1593,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
49,3.0,271,3.827272727,2259,102,0.0,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
50,2.7,271,3.742372881,3493,102,3.9,28.0,22.0,28.6889,29.0385,25.0,1,0
51,1.7,271,2.301785714,2259,102,3.7,24.0,27.0,23.0,26.0,25.0,1,0
52,4.0,271,3.7394736839999996,846,102,3.3,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
53,1.0,271,3.06,4683,102,3.7,28.1823,29.0385,28.6889,29.0385,28.7863,0,1
54,3.3,271,3.4666666669999997,846,102,3.6,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
55,4.0,271,3.338095238,3717,102,3.4,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
56,2.0,271,3.611111111,17,102,3.9,26.0,31.0,31.0,26.0,29.0,1,0
57,3.0,271,3.171794872,283,102,3.7,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
58,0.0,271,3.15982906,1675,102,0.0,28.1823,29.0385,28.6889,29.0385,28.7863,0,1
59,3.7,271,3.380487805,3345,102,0.0,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
60,0.0,271,3.054901961,3717,102,3.9,28.1823,29.0385,28.6889,29.0385,28.7863,0,1
61,2.7,271,3.39047619,4683,102,3.88,31.0,34.0,28.6889,29.0385,32.0,0,0
62,2.7,271,3.256818182,3558,102,3.1593,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
63,1.0,271,2.961538462,283,102,3.2,20.0,25.0,20.0,22.0,22.0,1,1
64,2.3,271,3.18,2259,102,3.9,35.0,23.0,33.0,22.0,28.0,1,0
65,0.0,271,2.7,283,102,3.9,30.0,32.0,33.0,30.0,31.0,1,1
66,2.7,271,3.234782609,4230,102,3.9,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
67,3.0,271,3.72173913,2495,102,3.9,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
68,2.0,271,2.3,846,102,3.7,21.0,25.0,19.0,22.0,22.0,1,0
69,2.3,271,2.61509434,410,102,3.8,28.0,25.0,27.0,24.0,26.0,0,0
70,2.3,271,3.4930232560000003,4230,102,3.1593,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
71,2.7,271,3.088235294,3057,102,3.9,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
72,3.7,271,3.4290322580000003,1895,102,3.8,30.0,25.0,23.0,23.0,25.0,1,0
73,2.4,271,3.453191489,2889,102,3.9,35.0,27.0,31.0,33.0,32.0,0,0
74,2.3,271,3.134146341,410,102,3.3,28.0,31.0,32.0,28.0,30.0,1,0
75,4.0,271,3.907692308,3057,102,3.9,25.0,27.0,30.0,27.0,28.0,0,0
76,4.0,271,4.034285714,283,102,3.8,25.0,28.0,27.0,25.0,26.0,1,0
77,2.7,271,3.2714285710000004,846,102,3.8,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
78,1.0,271,2.424242424,4683,102,0.0,31.0,27.0,30.0,25.0,29.0,1,1
79,0.0,271,2.9891891889999997,56,102,3.9,35.0,28.0,30.0,27.0,30.0,0,1
80,2.3,271,3.2,17,102,3.8,26.0,35.0,30.0,28.0,30.0,0,0
81,2.3,271,3.3636363639999995,3057,102,3.8,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
82,3.0,271,2.959090909,3558,102,3.9,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
83,0.0,271,2.607894737,3345,102,3.89,28.0,31.0,28.6889,29.0385,32.0,1,1
84,2.0,271,2.968181818,410,102,4.0,26.0,29.0,24.0,23.0,25.0,0,0
85,4.0,271,3.6754385960000002,3493,102,0.0,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
86,2.7,271,2.9888888889999996,3717,102,3.5,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
87,3.0,271,3.623809524,2889,102,3.1593,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
88,3.0,271,3.7538461539999997,846,102,3.9,34.0,28.0,24.0,26.0,28.0,1,0
89,4.0,271,4.139130435,283,102,3.9,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
90,0.0,271,2.3,846,102,3.4,22.0,28.0,28.6889,29.0385,30.0,1,1
91,1.7,271,2.636263736,3057,102,3.8,26.0,24.0,23.0,20.0,24.0,0,0
92,4.0,271,3.735135135,1895,102,3.1,27.0,28.0,21.0,25.0,26.0,0,0
93,0.0,271,2.9,3717,102,0.0,28.1823,29.0385,28.6889,29.0385,28.7863,0,1
94,4.0,271,4.0,3493,102,3.7,33.0,29.0,28.0,27.0,30.0,1,0
95,3.3,271,3.5069767439999997,1895,102,3.5,18.0,17.0,19.0,20.0,18.0,0,0
96,2.0,271,2.9490909089999997,283,102,3.9,28.0,30.0,28.0,25.0,28.0,1,0
97,1.3,271,2.887755102,2495,102,3.5,29.0,25.0,30.0,24.0,27.0,0,0
98,3.3,271,3.3,3558,102,3.9,32.0,26.0,32.0,29.0,30.0,1,0
99,2.4,271,3.654545455,1996,102,3.5,22.0,23.0,20.0,22.0,22.0,0,0
100,2.4,271,3.424,1862,102,3.9,35.0,34.0,28.0,36.0,33.0,0,0
101,2.0,271,2.9930232560000003,2889,102,3.2,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
102,2.3,271,3.727777778,1862,102,3.1,28.0,25.0,32.0,23.0,27.0,0,0
103,3.3,271,4.016,4683,102,3.6,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
104,1.7,271,3.4560000000000004,846,102,3.0,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
105,0.0,271,3.0975,4230,102,3.1593,28.1823,29.0385,28.6889,29.0385,28.7863,1,1
106,4.0,271,4.03,1675,102,4.0,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
107,2.0,271,3.566666667,4230,102,3.6,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
108,3.3,271,3.571428571,410,102,3.3,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
109,2.0,271,3.953846154,3493,102,0.0,21.0,18.0,19.0,21.0,20.0,1,0
110,3.0,271,3.324528302,1675,102,3.3,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
111,3.4,271,3.473170732,4683,102,4.0,26.0,25.0,27.0,20.0,24.0,1,0
112,3.7,271,3.394736842,3558,102,0.0,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
113,2.7,271,3.8190476189999996,2495,102,3.5,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
114,2.0,271,3.0,1862,102,2.7,23.0,25.0,27.0,28.0,26.0,0,0
115,3.3,271,3.673333333,410,102,3.7,26.0,28.0,31.0,29.0,29.0,1,0
116,2.0,271,2.3923076919999997,17,102,3.9,30.0,33.0,34.0,28.0,31.0,1,0
117,1.7,271,2.564285714,1996,102,3.7,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
118,0.0,271,2.983333333,2495,102,4.0,28.1823,29.0385,28.6889,29.0385,28.7863,0,1
119,2.7,271,2.9235294119999997,1675,102,3.7,17.0,22.0,23.0,19.0,21.0,0,0
120,4.0,271,3.84,1675,102,3.1593,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
121,2.0,271,3.255813953,4683,102,3.9,22.0,19.0,27.0,21.0,22.0,1,0
122,3.3,271,3.447058824,2889,102,3.9,33.0,28.0,33.0,28.0,30.0,1,0
123,2.7,271,3.727586207,56,102,3.7,23.0,35.0,31.0,27.0,29.0,0,0
124,2.0,271,3.2387096769999997,2889,102,0.0,25.0,24.0,23.0,22.0,24.0,1,0
125,2.7,271,3.211904762,3345,102,4.0,28.0,26.0,27.0,28.0,28.0,0,0
126,3.3,271,3.68,2889,102,3.0,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
127,2.0,271,3.3,410,102,4.0,34.0,29.0,33.0,28.0,31.0,1,0
128,4.0,271,3.812820513,1675,102,3.9,30.0,26.0,25.0,24.0,26.0,1,0
129,3.7,271,3.5105263160000004,3345,102,3.5,26.0,25.0,25.0,25.0,26.0,1,0
130,2.7,271,3.2574468089999997,4230,102,3.8,32.0,29.0,32.0,26.0,30.0,0,0
131,2.7,271,3.191304348,3717,102,3.7,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
132,1.7,271,3.06,410,102,4.0,31.0,34.0,25.0,30.0,30.0,1,0
133,4.0,271,4.19047619,1996,102,0.0,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
134,0.0,271,2.6575,4683,102,4.0,33.0,33.0,31.0,33.0,32.0,0,1
135,2.3,271,2.4285714290000002,3057,102,3.4,28.0,34.0,28.6889,29.0385,33.0,0,0
136,2.0,271,2.9760000000000004,3558,102,3.5,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
137,3.0,271,3.1639999999999997,2259,102,4.0,30.0,27.0,31.0,27.0,29.0,0,0
138,1.7,271,3.857777778,1895,102,3.5,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
139,2.7,271,3.38,410,102,2.6,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
140,3.0,271,3.6347826089999997,1862,102,3.1593,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
141,2.0,271,3.588571429,3057,102,3.4,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
142,0.0,271,2.658181818,1996,102,3.8,29.0,27.0,26.0,29.0,28.0,0,1
143,4.0,271,3.807407407,2495,102,3.7,25.0,24.0,22.0,24.0,24.0,1,0
144,3.0,271,3.7,17,102,3.4,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
145,1.7,271,3.409803922,17,102,0.0,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
146,4.0,271,3.754545455,4683,102,3.8,31.0,34.0,23.0,27.0,29.0,0,0
147,1.7,271,3.353030303,4230,102,3.7,24.0,31.0,21.0,23.0,25.0,0,0
148,3.3,271,3.866666667,410,102,3.8,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
149,4.0,271,3.8222222219999997,2259,102,3.4,25.0,28.0,30.0,24.0,27.0,1,0
150,2.7,271,3.76,1675,102,3.9,31.0,26.0,32.0,26.0,29.0,1,0
151,3.3,271,3.6425,17,102,0.0,26.0,34.0,23.0,26.0,27.0,0,0
152,3.0,271,3.258333333,56,102,2.9,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
153,3.0,271,3.784,283,102,3.6,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
154,0.0,271,2.954545455,4683,102,3.6,28.1823,29.0385,28.6889,29.0385,28.7863,1,1
155,3.3,271,3.261627907,4230,102,3.9,29.0,30.0,28.6889,29.0385,28.0,0,0
156,2.3,271,3.3090909089999996,3345,102,4.0,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
157,2.4,271,3.619512195,1895,102,3.9,30.0,27.0,31.0,26.0,28.0,1,0
158,2.0,271,3.9698113210000003,4230,102,3.6,27.0,29.0,31.0,30.0,30.0,0,0
159,2.0,271,3.688888889,4683,102,3.8,31.0,28.0,30.0,25.0,29.0,0,0
160,4.0,271,4.145454545,2889,102,3.9,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
161,2.3,271,2.9,1862,102,3.1593,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
162,3.3,271,3.5589743589999996,410,102,4.0,29.0,31.0,25.0,27.0,28.0,1,0
163,2.7,271,3.170588235,846,102,3.7,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
164,3.7,271,3.58372093,4230,102,3.2,20.0,26.0,28.6889,29.0385,23.0,0,0
165,4.0,271,3.42195122,2259,102,3.52,35.0,28.0,28.0,29.0,30.0,1,0
167,4.0,271,4.256,283,102,3.2,23.0,24.0,21.0,21.0,22.0,1,0
168,4.0,271,3.013178295,3057,102,4.0,28.0,29.0,27.0,26.0,27.0,1,0
169,4.0,271,3.752,3558,102,3.9,33.0,30.0,34.0,29.0,32.0,1,0
170,4.0,271,4.184,283,102,0.0,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
171,3.3,271,3.5190476189999997,1996,102,3.8,27.0,30.0,31.0,30.0,29.0,0,0
172,3.0,271,3.9090909089999997,1862,102,3.8,29.0,25.0,28.0,26.0,27.0,0,0
173,1.7,271,2.994871795,1675,102,3.8,28.0,30.0,34.0,27.0,30.0,0,0
174,2.7,271,3.523809524,1895,102,3.9,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
175,2.0,271,3.424,3345,102,3.17,34.0,32.0,30.0,31.0,32.0,1,0
176,2.7,271,3.568,1675,102,3.1593,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
178,4.0,271,3.5,1675,102,3.4,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
179,2.3,271,3.475531915,1862,102,3.7,32.0,27.0,31.0,26.0,29.0,1,0
180,4.0,271,3.82,17,102,4.0,29.0,35.0,27.0,28.0,30.0,1,0
181,0.0,271,3.027777778,2259,102,3.9,32.0,27.0,32.0,30.0,31.0,0,1
182,3.7,271,2.991071429,3493,102,0.0,32.0,32.0,36.0,33.0,33.0,1,0
183,3.0,271,3.665625,2495,102,0.0,28.0,30.0,28.0,24.0,27.0,1,0
184,3.0,271,3.228205128,3345,102,3.1,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
185,4.0,271,3.4606060610000005,2259,102,3.7,28.0,24.0,28.0,32.0,28.0,0,0
186,3.7,271,4.0,283,102,3.1593,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
187,0.0,271,3.4857142860000003,1996,102,3.2,28.1823,29.0385,28.6889,29.0385,28.7863,1,1
188,2.0,271,3.07027027,3717,102,3.8,31.0,31.0,29.0,25.0,29.0,0,0
189,3.3,271,3.603333333,410,102,3.5,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
191,2.7,271,3.570833333,2259,102,3.1593,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
192,2.3,271,3.5473684210000003,283,102,0.0,18.0,29.0,17.0,19.0,21.0,1,0
193,3.0,271,3.875,2495,102,0.0,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
194,3.0,271,3.904545455,17,102,3.9,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
195,2.3,271,3.38,17,102,3.6,27.0,29.0,30.0,24.0,28.0,0,0
196,4.0,271,4.139130435,17,102,3.2,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
198,3.3,271,3.9181818180000003,3345,102,3.7,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
199,2.3,271,2.772222222,410,102,0.0,24.0,34.0,28.6889,29.0385,30.0,0,0
200,2.7,271,3.3625,4230,102,0.0,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
201,4.0,271,4.0,56,102,0.0,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
202,1.7,271,3.433898305,56,102,3.1593,34.0,29.0,28.0,26.0,30.0,0,0
203,2.7,271,3.140909091,1675,102,3.4,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
204,1.0,271,2.318604651,2259,102,3.1593,28.1823,29.0385,28.6889,29.0385,28.7863,1,1
205,3.3,271,3.505882353,2259,102,3.8,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
206,1.7,271,2.5,3558,102,3.8,26.0,26.0,31.0,22.0,26.0,0,0
207,0.0,271,3.043243243,410,102,3.6,22.0,16.0,27.0,22.0,22.0,0,1
208,1.7,271,2.807317073,1675,102,0.0,24.0,28.0,35.0,34.0,30.0,0,0
209,2.3,271,3.502702703,1895,102,3.8,26.0,28.0,24.0,26.0,26.0,1,0
210,3.4,271,3.645454545,846,102,2.4,20.0,17.0,20.0,19.0,19.0,0,0
211,2.0,271,2.847058824,3558,102,3.1,31.0,34.0,33.0,29.0,32.0,0,0
212,4.0,271,3.86,17,102,3.9,25.0,29.0,21.0,25.0,25.0,1,0
213,4.0,271,3.9379310339999996,3717,102,3.8,34.0,34.0,30.0,27.0,31.0,1,0
214,4.0,271,4.082352941,283,102,3.9,30.0,34.0,34.0,32.0,32.0,1,0
215,3.0,271,3.39047619,846,102,4.0,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
216,2.0,271,2.986111111,3493,102,3.1593,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
217,2.0,271,3.009756098,1895,102,0.0,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
218,2.0,271,3.122222222,3345,102,4.0,33.0,36.0,32.0,34.0,34.0,0,0
219,2.7,271,2.954545455,1996,102,3.3,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
220,0.0,271,3.1555555560000004,4230,102,3.0,28.1823,29.0385,28.6889,29.0385,28.7863,0,1
221,3.0,271,3.340540541,3558,102,3.8,31.0,32.0,28.6889,29.0385,30.0,0,0
222,2.3,271,2.8092307689999996,2889,102,3.1,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
223,4.0,271,3.1183098589999996,3717,102,4.0,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
224,0.0,271,3.0815789469999997,2889,102,3.8,35.0,34.0,35.0,28.0,33.0,0,1
225,1.0,271,2.951282051,3717,102,4.0,28.1823,29.0385,28.6889,29.0385,28.7863,1,1
226,2.0,271,3.172727273,410,102,3.8,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
227,2.7,271,3.520930233,3345,102,3.9,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
228,0.0,271,2.219047619,846,102,3.8,29.0,32.0,28.0,31.0,30.0,0,1
229,1.0,271,3.446511628,1895,102,3.6,28.1823,29.0385,28.6889,29.0385,28.7863,1,1
231,2.7,271,3.096610169,2259,102,3.0,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
232,1.7,271,2.584210526,3558,102,3.5,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
233,0.0,271,2.050649351,2889,102,3.1,28.1823,29.0385,28.6889,29.0385,28.7863,0,1
234,2.7,271,3.2354838710000005,2259,102,3.9,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
235,0.0,271,2.448648649,3345,102,3.8,28.1823,29.0385,28.6889,29.0385,28.7863,0,1
236,3.0,271,3.5764705880000003,2495,102,0.0,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
237,1.7,271,2.833898305,1996,102,0.0,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
238,3.7,271,3.741463415,3493,102,0.0,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
239,2.3,271,3.041025641,283,102,3.2,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
240,1.0,271,2.971428571,1675,102,3.2,28.1823,29.0385,28.6889,29.0385,28.7863,0,1
241,4.0,271,3.82173913,410,102,3.7,25.0,20.0,33.0,25.0,26.0,1,0
242,3.0,271,3.539473684,56,102,0.0,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
243,3.0,271,3.578125,17,102,3.8,32.0,33.0,30.0,25.0,30.0,1,0
244,2.7,271,3.947368421,4683,102,3.8,27.0,31.0,28.6889,29.0385,27.0,1,0
245,2.7,271,3.614634146,3345,102,3.3,31.0,27.0,31.0,30.0,30.0,0,0
246,2.0,271,3.455,4683,102,4.0,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
247,4.0,271,4.186666667,4230,102,3.8,30.0,27.0,30.0,27.0,28.0,0,0
248,2.0,271,2.950704225,846,102,2.8,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
249,3.0,271,3.9181818180000003,2889,102,4.0,34.0,31.0,28.6889,29.0385,33.0,1,0
250,4.0,271,3.7476190480000002,3493,102,4.0,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
251,0.0,271,2.7,2495,102,3.0,34.0,34.0,35.0,34.0,35.0,0,1
252,4.0,271,4.0,283,102,3.1593,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
253,1.7,271,3.305405405,1996,102,3.9,29.0,24.0,28.6889,29.0385,25.0,1,0
254,4.0,271,3.971428571,1862,102,3.8,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
255,1.7,271,2.528571429,3717,102,3.9,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
256,1.7,271,2.575609756,4230,102,3.6,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
257,2.7,271,3.2906976739999996,1996,102,3.9,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
258,1.3,271,2.275,1862,102,0.0,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
259,0.0,271,2.456451613,56,102,3.5,29.0,34.0,33.0,35.0,33.0,0,1
260,2.0,271,3.046511628,2259,102,0.0,27.0,23.0,30.0,28.0,27.0,1,0
261,2.3,271,2.97,2495,102,3.8,33.0,34.0,36.0,36.0,35.0,1,0
262,2.0,271,2.84,3558,102,3.2,28.0,33.0,31.0,28.0,30.0,0,0
263,4.0,271,4.082352941,283,102,3.1593,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
264,2.0,271,2.882051282,3558,102,3.6,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
265,0.0,271,2.773809524,1862,102,3.7,32.0,27.0,34.0,29.0,30.0,1,1
266,0.0,271,2.282692308,1675,102,3.8,28.0,26.0,33.0,26.0,29.0,1,1
267,1.7,271,3.3061224489999996,1675,102,4.0,36.0,35.0,35.0,34.0,35.0,1,0
268,2.3,271,3.496428571,3493,102,3.3,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
269,0.0,271,3.035714286,2495,102,0.0,29.0,35.0,27.0,29.0,30.0,0,1
270,3.0,271,3.6,3493,102,3.7,27.0,29.0,28.6889,29.0385,30.0,1,0
271,3.0,271,3.5804347830000003,1996,102,3.5,35.0,32.0,33.0,30.0,33.0,0,0
272,3.0,271,3.33,1996,102,3.4,32.0,30.0,34.0,30.0,32.0,0,0
273,4.0,271,4.0518518519999995,4683,102,4.0,25.0,35.0,32.0,32.0,31.0,0,0
274,2.7,271,3.748837209,3493,102,3.6,28.1823,29.0385,28.6889,29.0385,28.7863,0,0
275,3.0,271,3.13125,1675,102,0.0,27.0,27.0,23.0,25.0,25.0,1,0
276,2.3,271,3.3181818180000002,1996,102,4.0,23.0,33.0,23.0,24.0,26.0,0,0
277,2.0,271,3.8844444439999997,3345,102,3.7,26.0,27.0,33.0,27.0,28.0,1,0
278,3.0,271,3.821052632,2495,102,0.0,29.0,35.0,31.0,32.0,32.0,1,0
279,0.0,271,2.954545455,4683,102,4.0,25.0,28.0,30.0,29.0,28.0,0,1
280,2.0,271,3.382051282,283,102,3.7,28.1823,29.0385,28.6889,29.0385,28.7863,1,0
281,2.0,271,3.241935484,1675,102,4.0,31.0,34.0,30.0,34.0,33.0,0,0
