,alcohol,density,chlorides,total sulfur dioxide,citric acid,residual sugar,quality
84,8.6,0.9999,0.046,149.0,0.39,17.95,0
85,10.0,0.9948,0.046,159.0,0.39,1.8,0
86,9.5,0.9966,0.046,234.0,0.54,10.7,0
87,10.0,0.99726,0.046,118.0,0.24,12.6,1
88,11.1,0.9907600000000001,0.046,83.0,0.31,1.5,1
89,12.8,0.9890200000000001,0.046,96.0,0.29,2.0,1
90,11.4,0.9917,0.046,93.0,0.42,1.8,0
91,11.4,0.9917600000000001,0.046,113.0,0.38,1.6,0
92,9.5,0.9925,0.046,100.0,0.17,1.3,0
93,11.0,0.99287,0.046,143.0,0.35,5.4,1
94,10.1,0.9925,0.046,60.0,0.4,1.7,0
95,10.9,0.9951,0.046,192.0,0.3,8.0,0
96,11.1,0.99072,0.027999999999999997,98.0,0.28,2.5,1
97,9.6,0.9948,0.048,186.0,0.5,6.5,0
98,8.9,0.9977,0.043,228.0,0.14,11.6,0
99,10.7,0.9938,0.036000000000000004,117.0,0.39,6.7,0
100,9.0,0.9956,0.052000000000000005,184.0,0.49,7.4,0
101,10.5,0.9950200000000001,0.044000000000000004,150.0,0.24,9.2,0
102,8.7,0.9982,0.039,165.0,0.74,13.5,0
103,9.4,0.9986,0.052000000000000005,198.0,0.4,15.4,0
104,11.05,0.9956,0.026000000000000002,60.0,0.36,8.8,0
105,11.0,0.9940000000000001,0.03,132.0,0.49,9.3,1
106,10.4,0.9945,0.047,139.0,0.4,1.3,0
107,9.2,0.99736,0.04,116.0,0.18,15.0,0
108,8.8,1.0011,0.084,139.0,0.26,18.35,0
109,9.2,0.9964,0.083,182.0,0.65,8.3,0
110,10.5,0.99444,0.037000000000000005,105.0,0.27,9.6,1
111,10.0,0.9938,0.048,170.0,0.27,1.9,1
112,9.6,0.9930899999999999,0.051,210.0,0.47,1.4,0
113,10.0,0.9944,0.040999999999999995,190.0,0.12,5.9,0
114,11.4,0.9957,0.051,157.0,0.28,10.8,1
115,10.7,0.9915799999999999,0.039,132.0,0.2,3.7,0
116,12.7,0.99174,0.026000000000000002,114.0,0.37,5.4,0
117,10.5,0.9949600000000001,0.038,130.0,0.27,10.9,1
118,10.4,0.9923,0.033,81.0,0.49,1.1,1
119,11.6,0.9913200000000001,0.038,117.0,0.42,2.5,1
120,9.5,0.9990700000000001,0.049,210.0,0.26,15.6,0
121,8.7,1.0001,0.042,146.0,0.27,18.15,0
122,11.4,0.99182,0.027999999999999997,132.0,0.28,1.8,0
123,9.8,0.99382,0.068,138.0,0.23,2.0,0
124,9.8,0.992,0.040999999999999995,174.0,0.13,1.2,0
125,9.8,0.9927,0.15,54.0,0.71,1.6,0
126,11.4,0.9917,0.031,93.0,0.42,1.8,0
127,11.0,0.992,0.037000000000000005,102.0,0.29,2.2,1
128,9.4,0.9961,0.044000000000000004,152.0,0.24,9.2,0
129,8.7,0.9976,0.047,178.0,0.62,11.0,0
130,10.3,0.9953799999999999,0.059000000000000004,215.0,0.34,6.8,0
131,12.0,0.98956,0.031,89.0,0.38,3.2,1
132,9.5,0.9927,0.039,82.0,0.27,0.8,0
133,8.8,0.99975,0.044000000000000004,169.0,0.32,13.4,1
134,12.89333333,0.9901,0.035,115.0,0.24,5.4,1
135,8.8,0.99808,0.037000000000000005,182.0,0.48,12.8,0
136,9.0,0.99792,0.051,149.0,0.28,14.7,1
137,10.15,0.9936200000000001,0.036000000000000004,111.0,0.33,6.0,1
138,13.6,0.98872,0.035,111.0,0.26,3.5,1
139,8.8,0.9984,0.054000000000000006,138.0,0.32,12.2,0
140,12.4,0.98918,0.033,107.0,0.0,1.4,0
141,8.8,0.998,0.05,162.0,0.74,13.6,0
142,10.2,0.9974,0.055999999999999994,178.0,0.34,10.0,0
143,9.6,0.9948799999999999,0.055,164.0,0.44,8.9,0
144,8.7,0.9981,0.047,237.0,0.3,11.1,0
145,11.2,0.9918,0.038,111.0,0.38,1.4,1
146,10.5,0.9938,0.031,135.0,0.35,7.7,0
147,12.2,0.9918,0.035,109.0,0.28,4.9,1
148,13.0,0.99408,0.036000000000000004,134.0,0.27,15.5,1
149,8.0,0.9933200000000001,0.033,159.0,0.21,0.95,0
150,9.0,0.99792,0.051,149.0,0.28,14.7,1
151,9.4,0.9946,0.17,166.0,0.3,4.8,0
152,10.9,0.9926,0.035,110.0,0.31,1.7,0
153,10.4,0.9944,0.031,90.0,0.26,7.8,0
154,13.3,0.98936,0.036000000000000004,92.0,0.32,4.0,1
155,9.4,0.99584,0.046,183.0,0.44,8.2,0
156,9.5,0.9955,0.044000000000000004,133.0,0.14,7.5,0
157,8.6,1.0001,0.052000000000000005,256.0,0.57,15.0,0
158,10.0,0.9964,0.046,188.0,0.49,9.4,0
159,10.9,0.9913,0.046,121.0,0.31,2.9,1
160,10.7,0.9962,0.035,181.0,0.33,8.75,0
161,11.4,0.99305,0.034,103.0,0.31,6.3,1
162,9.6,0.9928,0.051,87.0,0.49,1.5,0
163,11.4,0.9921,0.046,153.0,0.28,2.5,1
164,9.4,0.9962200000000001,0.036000000000000004,155.0,0.14,8.9,0
165,9.9,0.99425,0.04,144.0,0.2,5.8,0
166,12.3,0.99166,0.032,140.0,0.31,5.2,1
167,10.3,0.9969,0.033,208.0,0.36,11.1,0
168,12.6,0.9917,0.024,87.0,0.44,6.35,1
169,10.2,0.9934,0.046,87.0,0.04,5.7,0
170,10.5,0.9918,0.036000000000000004,85.0,0.39,1.2,0
171,10.0,0.99726,0.044000000000000004,118.0,0.24,12.6,1
172,10.2,0.9943200000000001,0.042,84.0,0.06,6.8,0
173,8.8,0.99924,0.038,133.0,0.36,16.3,0
174,9.2,0.9967,0.042,140.0,0.35,10.3,0
175,9.5,0.99684,0.033,124.0,0.42,15.1,0
176,10.7,0.9918399999999999,0.063,119.0,0.35,1.6,0
177,9.7,0.9981,0.037000000000000005,145.0,0.35,10.7,0
178,9.5,0.99366,0.054000000000000006,136.0,0.35,1.1,0
179,11.6,0.998,0.027999999999999997,130.0,0.28,18.8,0
180,11.3,0.9916,0.026000000000000002,93.0,0.34,1.2,1
181,14.2,0.98779,0.037000000000000005,113.0,0.28,1.6,1
182,9.1,1.0002,0.062,187.0,0.31,17.95,0
183,9.5,0.996,0.057999999999999996,133.0,0.46,3.2,0
184,9.3,0.9938,0.11699999999999999,240.0,0.21,1.65,0
185,9.4,0.9953700000000001,0.048,178.0,0.41,7.2,0
186,8.8,0.9934700000000001,0.053,124.0,0.15,1.2,0
187,9.5,0.9952,0.055999999999999994,161.0,0.44,6.5,0
188,12.4,0.99,0.03,79.0,0.28,4.0,1
189,10.0,0.993,0.037000000000000005,141.0,0.32,2.2,1
190,12.5,0.9898,0.027000000000000003,134.0,0.36,2.2,1
191,9.5,0.9982,0.039,204.0,0.51,14.8,0
192,9.7,1.0002,0.054000000000000006,126.0,0.38,14.8,0
193,9.5,0.99718,0.055999999999999994,210.0,0.24,12.1,0
194,8.6,0.9977,0.053,238.0,0.31,12.0,0
195,8.7,0.9984,0.05,135.0,0.27,15.5,1
196,12.0,0.9915200000000001,0.026000000000000002,87.0,0.36,4.3,0
197,11.6,0.9922,0.022000000000000002,174.0,0.4,6.3,1
198,10.4,0.99454,0.046,176.0,0.54,7.0,0
199,10.8,0.9905,0.03,131.0,0.07,1.1,0
200,13.7,0.9907,0.039,116.0,0.13,4.5,1
201,9.4,0.9963,0.053,151.0,0.53,10.1,0
202,9.7,0.9979399999999999,0.04,248.0,0.39,12.1,0
203,11.4,0.9931,0.045,101.0,0.33,2.0,0
204,8.7,0.9946799999999999,0.14800000000000002,149.0,0.52,1.3,0
205,8.8,1.0,0.046,133.0,0.36,18.1,0
206,9.2,0.9997,0.057999999999999996,165.0,0.38,16.05,0
207,8.8,0.9976,0.044000000000000004,163.0,0.51,11.8,0
208,9.0,0.9945799999999999,0.053,106.0,0.23,5.0,0
209,9.2,0.9956,0.036000000000000004,167.0,0.4,2.8,0
210,10.7,0.9948100000000001,0.035,135.0,0.25,12.1,0
211,11.3,0.99135,0.045,100.0,0.32,2.4,1
212,9.0,0.9965,0.083,171.0,0.43,8.9,0
213,8.8,0.9961,0.054000000000000006,209.0,0.26,7.7,0
214,11.0,0.99066,0.038,72.0,0.24,0.9,0
215,12.3,0.9904299999999999,0.033,169.0,0.24,1.4,1
216,11.4,0.99166,0.042,177.0,0.28,2.2,0
217,11.3,0.99121,0.034,102.0,0.39,1.4,1
218,9.6,0.9998,0.055999999999999994,117.0,0.35,15.3,0
219,9.1,0.9994700000000001,0.051,156.0,0.39,14.5,0
220,12.8,0.9911,0.04,114.0,0.48,2.3,1
221,12.1,0.99066,0.025,100.0,0.31,3.6,1
222,9.8,0.9942799999999999,0.048,125.0,0.16,5.9,0
223,10.8,0.9929899999999999,0.036000000000000004,150.0,0.28,6.9,1
224,11.3,0.9906,0.04,115.0,0.33,1.4,1
225,12.7,0.9889,0.021,121.0,0.32,1.4,1
226,8.9,0.9982,0.046,179.0,0.61,12.0,0
227,9.3,0.99545,0.053,149.0,0.22,7.9,0
228,9.9,0.9972,0.049,217.0,0.27,15.2,0
229,11.8,0.98966,0.031,111.0,0.4,1.85,1
230,11.9,0.9904299999999999,0.04,121.0,0.28,1.8,0
231,12.0,0.9935,0.036000000000000004,117.0,0.39,8.9,1
232,9.5,0.9965700000000001,0.052000000000000005,183.0,0.32,7.8,0
233,8.7,0.9976,0.05,192.0,0.65,10.4,0
234,13.0,0.99056,0.034,134.0,0.29,4.75,1
235,9.5,0.99459,0.11699999999999999,183.0,0.2,5.6,0
236,9.9,0.9937,0.027000000000000003,63.0,0.33,1.1,0
237,10.5,0.998275,0.047,183.0,0.22,14.7,0
238,10.0,0.9941,0.04,167.0,0.21,6.6,0
239,11.2,0.99126,0.028999999999999998,98.0,0.36,2.6,1
240,12.9,0.9891399999999999,0.035,106.0,0.31,1.6,1
241,9.1,0.99792,0.049,139.0,0.53,12.9,0
242,11.5,0.9928,0.042,166.0,0.28,4.75,0
243,9.1,0.99654,0.057,223.0,0.45,8.6,0
244,8.8,0.9991,0.066,161.0,0.2,17.9,0
245,12.2,0.9952,0.032,133.0,0.34,14.0,1
246,9.2,0.99805,0.053,159.0,0.55,14.6,0
247,9.2,0.9990399999999999,0.05,139.0,0.22,18.15,0
248,11.5,0.9911399999999999,0.028999999999999998,138.0,0.33,1.4,1
249,9.4,0.9992200000000001,0.045,183.0,0.36,15.7,0
250,13.0,0.9888600000000001,0.027000000000000003,117.0,0.2,2.4,1
251,11.5,0.9924,0.037000000000000005,89.0,0.32,2.7,1
252,11.3,0.9909600000000001,0.035,93.0,0.34,1.1,1
253,9.7,0.9996,0.036000000000000004,219.0,0.13,17.2,0
254,10.5,0.99192,0.03,80.0,0.3,1.2,0
255,8.8,1.0,0.046,133.0,0.36,18.1,0
256,11.9,0.99,0.036000000000000004,98.0,0.39,1.9,1
257,12.0,0.9895299999999999,0.048,61.0,0.31,1.7,1
258,11.4,0.9931,0.045,101.0,0.33,2.0,0
259,9.0,0.99772,0.044000000000000004,158.0,0.13,12.8,0
260,9.2,0.9960399999999999,0.047,151.0,0.24,7.2,0
261,12.3,0.9912,0.027999999999999997,113.0,0.32,3.5,1
262,12.0,0.99019,0.05,83.0,0.35,1.4,1
263,9.3,0.9974799999999999,0.049,205.0,0.28,10.4,0
264,9.3,0.9998,0.037000000000000005,187.0,0.74,17.85,0
265,9.5,0.9938799999999999,0.061,218.0,0.31,1.35,0
266,9.5,0.9990700000000001,0.049,210.0,0.26,15.6,0
267,9.2,0.9958,0.045,180.0,0.36,8.1,0
268,9.1,0.99571,0.048,207.0,0.15,9.7,0
269,9.9,0.9940000000000001,0.05,87.0,0.29,4.8,0
270,9.0,0.9962,0.048,186.0,0.18,7.7,0
271,9.3,0.9927,0.049,150.0,0.33,1.1,0
272,10.5,0.993,0.039,131.0,0.49,1.0,1
273,9.5,0.9962,0.05,105.0,0.29,10.1,0
274,9.3,0.9984,0.049,196.0,0.26,16.1,0
275,10.7,0.9914200000000001,0.035,140.0,0.29,1.1,1
276,11.0,0.99111,0.036000000000000004,89.0,0.32,1.2,0
277,10.2,0.998,0.052000000000000005,146.0,0.49,7.3,0
278,10.7,0.9951,0.037000000000000005,155.0,0.33,6.7,1
279,10.7,0.9917799999999999,0.054000000000000006,148.0,0.35,1.6,0
280,10.8,0.9940200000000001,0.03,98.0,0.27,12.0,0
281,8.7,0.9984,0.05,135.0,0.27,15.5,1
282,10.8,0.99216,0.043,104.0,0.37,1.5,0
283,10.7,0.99346,0.05,65.0,0.43,1.6,0
284,12.3,0.98987,0.031,87.0,0.33,1.3,1
285,9.5,0.9940000000000001,0.052000000000000005,104.0,0.43,2.1,0
286,9.3,0.996,0.053,148.0,0.37,8.9,0
287,10.2,0.9943200000000001,0.042,84.0,0.06,6.8,0
288,11.3,0.9908899999999999,0.026000000000000002,126.0,0.21,2.9,1
289,10.0,0.9931,0.053,144.0,0.47,3.0,0
290,12.8,0.98944,0.040999999999999995,144.0,0.29,3.1,1
291,10.3,0.99293,0.044000000000000004,126.0,0.41,1.3,0
292,9.3,0.9972700000000001,0.067,131.0,0.42,12.0,0
293,10.6,0.9940000000000001,0.02,57.0,0.25,10.4,0
294,10.0,0.9952,0.043,149.0,0.49,7.0,0
295,10.1,0.99555,0.038,196.0,0.3,7.8,0
296,12.2,0.9904,0.03,135.0,0.36,3.5,1
297,10.6,0.9927,0.032,135.0,0.34,4.6,0
298,8.7,0.99354,0.06,154.0,0.15,1.3,0
299,10.8,0.9916,0.04,103.0,0.74,1.6,1
300,9.1,0.9986,0.053,229.0,0.3,12.8,1
301,9.0,0.9959,0.052000000000000005,143.0,0.32,7.6,0
302,11.5,0.9908399999999999,0.017,80.0,0.24,2.7,0
303,9.4,0.9989,0.044000000000000004,167.0,0.24,17.5,0
304,12.4,0.9903700000000001,0.036000000000000004,79.0,0.3,2.9,1
305,10.6,0.9951,0.043,153.0,0.3,6.7,0
306,12.3,0.99031,0.034,99.0,0.24,3.3,1
307,10.1,0.99224,0.146,105.0,0.47,1.2,0
308,10.6,0.9916,0.031,66.0,0.32,1.1,0
309,9.0,0.9978,0.044000000000000004,115.0,0.58,15.0,0
310,9.9,0.99498,0.048,162.0,0.27,8.0,0
311,13.6,0.9874200000000001,0.028999999999999998,93.0,0.3,1.2,1
312,9.2,0.99572,0.047,184.0,0.5,7.6,0
313,12.6,0.9925,0.045,122.0,0.38,6.8,1
314,9.6,0.9942,0.055,125.0,0.34,5.1,0
315,10.5,0.99382,0.051,107.0,0.25,1.4,1
316,10.4,0.9926,0.018000000000000002,72.0,0.28,1.1,0
317,9.3,0.9965700000000001,0.098,91.0,0.21,10.7,0
318,9.3,0.9979399999999999,0.040999999999999995,188.0,0.61,11.8,0
319,8.6,0.9978,0.039,151.0,0.58,11.1,0
320,9.0,0.9973,0.063,169.0,0.28,11.1,0
321,11.5,0.9916,0.04,148.0,0.32,1.7,1
322,9.0,0.9973200000000001,0.053,134.0,0.57,10.4,0
323,9.1,0.9986,0.055,176.0,0.23,16.2,0
324,9.8,0.9942,0.039,143.0,0.26,2.1,0
325,11.0,0.9929600000000001,0.043,98.0,0.38,2.1,0
326,11.7,0.99064,0.012,100.0,0.28,2.4,1
327,9.8,0.9938,0.073,157.0,0.26,1.7,0
328,10.9,0.9914,0.027999999999999997,122.0,0.4,1.8,1
329,10.2,0.9939,0.051,146.0,0.29,4.4,0
330,9.5,0.9956,0.042,138.0,0.29,1.3,0
331,9.1,0.99336,0.053,112.0,0.2,1.0,0
332,8.9,0.9986,0.05,200.0,0.36,13.1,1
333,9.2,0.99318,0.062,100.0,0.42,1.1,0
334,12.6,0.99,0.03,104.0,0.31,1.9,1
335,12.4,0.99026,0.034,100.0,0.28,4.8,1
336,8.7,0.9982,0.039,165.0,0.74,13.5,0
337,9.0,0.99808,0.062,171.0,0.3,12.8,1
338,9.4,0.9944,0.046,116.0,0.2,3.4,0
339,12.6,0.9893,0.024,76.0,0.27,1.7,1
340,10.4,0.9918,0.028999999999999998,61.0,0.52,1.7,0
341,9.5,0.99434,0.055999999999999994,176.0,0.34,1.3,0
342,10.5,0.9918,0.036000000000000004,85.0,0.39,1.2,0
343,9.8,0.9945,0.040999999999999995,130.0,0.49,1.5,1
344,9.0,0.99792,0.051,149.0,0.28,14.7,1
345,9.4,0.9981,0.045,192.0,0.23,13.7,0
346,9.2,0.9933,0.052000000000000005,127.0,0.36,1.2,0
347,9.2,0.99477,0.038,97.0,0.26,4.3,0
348,9.0,0.9977799999999999,0.038,183.0,0.8,12.3,0
349,9.2,0.99736,0.04,116.0,0.18,15.0,0
350,12.5,0.9902700000000001,0.032,85.0,0.21,1.6,0
351,9.5,0.997,0.051,94.0,0.31,11.7,1
352,9.2,0.9960399999999999,0.047,189.0,0.51,8.0,0
353,9.6,0.9954,0.057999999999999996,151.0,0.42,6.4,0
354,9.3,0.9958299999999999,0.046,179.0,0.4,7.5,0
355,9.4,0.9977,0.034,152.0,0.25,12.5,0
356,9.6,0.9969600000000001,0.052000000000000005,131.0,0.22,10.0,0
357,9.1,0.9987,0.047,171.0,0.51,15.3,0
358,10.8,0.99482,0.048,147.0,0.29,11.7,0
359,10.4,0.9946,0.03,129.0,0.32,6.3,0
360,12.9,0.98836,0.031,147.0,0.39,1.4,1
361,10.9,0.9905,0.031,77.0,0.27,1.4,1
362,9.4,0.9973799999999999,0.10800000000000001,187.0,0.28,10.4,0
363,13.3,0.9918,0.033,141.0,0.42,6.6,1
364,10.8,0.9944,0.042,124.0,0.45,1.6,0
365,11.6,0.992,0.054000000000000006,121.0,0.36,2.0,1
366,11.9,0.9936,0.039,162.0,0.4,6.3,1
367,10.4,0.99316,0.033,136.0,0.26,1.7,1
368,11.8,0.9913,0.037000000000000005,150.0,0.24,1.8,1
369,11.3,0.9911,0.042,104.0,0.3,2.5,1
370,9.5,0.9958,0.061,238.5,0.23,4.6,0
371,10.9,0.99567,0.057999999999999996,115.0,0.24,9.9,0
372,10.1,0.9977299999999999,0.059000000000000004,124.0,0.24,17.8,0
373,11.0,0.9924799999999999,0.027000000000000003,136.0,0.27,1.6,1
374,10.5,0.9924,0.046,113.0,0.27,1.6,1
375,8.9,0.9975,0.048,229.0,0.35,12.8,0
376,9.4,0.9956,0.055999999999999994,206.0,0.51,7.9,0
377,9.6,0.997,0.094,97.0,0.3,11.8,0
378,10.0,0.9941,0.049,111.0,0.41,2.2,0
379,11.5,0.9903799999999999,0.021,148.0,0.31,0.95,0
380,10.8,0.9929899999999999,0.036000000000000004,150.0,0.28,6.9,1
381,9.5,0.9952,0.038,220.0,0.23,7.2,0
382,10.6,0.9917799999999999,0.018000000000000002,128.0,0.23,1.2,0
383,9.4,0.9946,0.064,120.0,0.24,2.0,0
384,9.5,0.9956,0.079,216.0,0.26,4.0,0
385,9.4,0.9959,0.038,219.0,0.39,7.8,0
386,10.0,0.992,0.04,168.0,0.12,1.3,0
387,9.0,0.9962,0.048,186.0,0.18,7.7,0
388,13.9,0.9894,0.03,135.0,0.22,2.4,1
389,9.2,0.9972,0.055999999999999994,105.0,0.64,13.2,0
390,8.6,1.0001,0.052000000000000005,256.0,0.57,15.0,0
391,9.3,0.9979399999999999,0.040999999999999995,188.0,0.61,11.8,0
392,12.0,0.9916,0.028999999999999998,158.0,0.3,2.7,1
393,9.4,0.9984799999999999,0.043,201.0,0.2,15.4,0
394,9.3,0.99944,0.052000000000000005,188.0,0.47,16.9,0
395,8.8,0.9941399999999999,0.053,173.0,0.32,1.1,0
396,11.0,0.99287,0.054000000000000006,143.0,0.35,5.4,1
397,9.9,0.9938,0.036000000000000004,73.0,0.35,1.2,0
398,9.9,0.99403,0.040999999999999995,120.0,0.18,6.4,0
399,9.0,0.99792,0.051,149.0,0.28,14.7,1
400,9.4,0.9966,0.04,145.0,0.29,10.5,0
401,9.3,0.99482,0.045,162.0,0.55,5.9,0
402,13.5,0.98934,0.033,118.0,0.4,1.95,1
403,9.0,0.9966,0.044000000000000004,227.0,0.37,8.3,0
404,9.3,0.9983,0.032,181.0,0.38,14.9,1
405,9.8,0.9943799999999999,0.092,138.0,0.35,1.6,0
406,9.4,0.99577,0.042,195.0,0.17,8.3,0
407,10.2,0.99751,0.057,173.0,0.34,14.8,0
408,12.33333333,0.99,0.036000000000000004,73.0,0.13,1.75,0
409,8.9,0.99902,0.048,240.0,0.16,14.9,0
410,12.0,0.9953,0.03,153.0,0.24,15.1,1
411,13.0,0.99026,0.021,113.0,0.29,4.9,1
412,10.7,0.992,0.044000000000000004,158.0,0.28,4.2,1
413,12.1,0.9925799999999999,0.032,90.0,0.33,9.9,1
414,9.5,0.9968,0.051,166.0,0.29,11.4,0
415,9.0,0.9929,0.042,108.0,0.25,1.8,0
416,9.5,0.9955799999999999,0.052000000000000005,197.0,0.49,8.1,0
417,9.4,0.9957799999999999,0.044000000000000004,198.0,0.17,8.4,0
418,12.2,0.99235,0.031,115.0,0.31,6.4,1
419,8.7,0.9974,0.045,155.0,0.61,11.8,0
420,9.4,0.9965,0.16899999999999998,162.0,0.31,5.3,0
421,12.6,0.9903,0.028999999999999998,87.0,0.15,2.0,1
422,11.7,0.9942,0.048,41.0,0.34,12.6,0
423,8.9,0.99745,0.039,233.0,0.43,13.0,0
424,9.5,0.9954799999999999,0.044000000000000004,202.0,0.52,8.1,0
425,11.0,0.9908,0.031,114.0,0.18,1.2,1
426,9.4,0.9966,0.046,110.0,0.52,11.3,0
427,12.7,0.9906,0.034,77.0,0.24,4.7,0
428,9.5,0.99474,0.094,166.0,0.18,6.3,0
429,9.1,0.99571,0.048,207.0,0.15,9.7,0
430,9.8,0.9948,0.042,147.0,0.49,1.3,0
431,11.4,0.99044,0.042,101.0,0.29,1.0,1
432,8.8,0.9974200000000001,0.047,219.0,0.27,10.3,0
433,11.3,0.9908,0.035,86.0,0.42,1.3,0
434,10.5,0.99195,0.042,101.0,0.31,1.6,0
435,9.4,0.9962799999999999,0.055999999999999994,167.0,0.48,8.8,0
436,9.4,0.9968100000000001,0.086,94.0,0.2,10.4,0
437,12.4,0.98962,0.042,105.0,0.35,1.8,1
438,9.4,0.9944,0.069,162.0,0.31,1.8,0
439,9.3,0.9932,0.042,80.0,0.1,2.8,0
440,13.4,0.9887600000000001,0.016,55.0,0.41,1.4,0
441,9.5,0.9953799999999999,0.054000000000000006,182.0,0.26,8.2,0
442,10.5,0.9933,0.048,131.0,0.3,1.6,0
443,9.0,0.9955,0.04,179.0,0.3,1.8,0
444,9.2,0.9934,0.06,108.0,0.04,1.2,0
445,12.6,0.98949,0.035,123.0,0.34,1.5,1
446,8.7,0.9981,0.037000000000000005,156.0,0.74,12.5,0
